,Age,Hours_per_week,Workclass_cat_new,Education_cat_new,Marital_Status_cat_new,Occupation_cat,Race_cat,Sex_cat,Income
93,36,40,2,6,1,6,4,0,<=50K
94,53,50,2,4,2,5,4,1,<=50K
95,56,50,0,1,2,11,4,1,<=50K
96,49,40,1,7,2,2,2,1,>50K
97,55,56,2,1,2,11,4,1,<=50K
98,22,41,2,6,1,2,4,1,<=50K
99,21,40,2,1,1,7,4,0,<=50K
100,40,60,2,1,2,3,4,1,<=50K
101,29,50,1,1,2,9,4,1,>50K
102,19,35,2,1,1,7,2,1,<=50K
103,47,40,2,1,2,3,4,0,>50K
104,20,28,2,1,1,0,4,0,<=50K
105,31,40,2,7,2,0,4,1,>50K
106,39,40,2,1,0,2,4,1,<=50K
107,28,60,2,7,1,11,4,0,<=50K
108,24,40,2,6,1,7,4,0,<=50K
109,38,35,0,6,2,2,4,1,<=50K
110,37,50,2,1,2,11,4,1,<=50K
111,46,36,2,7,0,12,2,0,<=50K
112,43,60,0,6,2,2,4,1,<=50K
113,27,35,2,7,2,0,4,0,<=50K
114,20,20,2,1,1,11,4,1,<=50K
115,49,40,2,1,2,2,1,1,>50K
116,61,40,0,6,2,2,4,1,<=50K
117,27,40,2,1,1,11,4,0,<=50K
118,45,40,2,7,1,9,4,0,>50K
119,70,40,2,1,1,12,4,1,<=50K
120,31,30,2,6,1,13,2,0,<=50K
121,22,24,2,1,2,7,4,1,<=50K
122,36,24,2,6,3,7,4,0,<=50K
123,64,40,2,4,2,2,4,1,<=50K
124,34,40,2,6,1,0,4,0,<=50K
125,21,35,2,6,1,2,4,1,<=50K
126,48,46,2,6,2,2,4,1,<=50K
127,23,40,2,1,1,5,4,1,<=50K
128,71,2,0,1,4,11,2,1,<=50K
129,29,60,2,6,0,2,4,1,<=50K
130,42,50,2,1,4,7,2,1,<=50K
131,25,40,2,6,1,7,4,0,<=50K
132,44,40,0,3,0,3,1,0,<=50K
133,45,40,0,3,2,11,4,1,>50K
134,39,42,1,7,1,3,4,1,<=50K
135,46,40,1,3,3,10,4,1,<=50K
136,18,16,2,4,1,5,4,1,<=50K
137,66,20,1,7,3,9,4,0,<=50K
138,27,40,2,6,1,7,4,1,<=50K
139,28,40,1,6,2,10,4,1,<=50K
140,51,40,2,1,2,11,4,1,>50K
141,27,50,2,1,1,2,4,1,<=50K
142,28,40,1,1,2,9,4,1,>50K
143,27,25,2,6,4,11,4,0,<=50K
144,21,40,2,6,1,2,2,1,<=50K
145,34,40,2,6,1,5,2,1,<=50K
146,18,12,2,6,1,7,4,1,<=50K
147,33,65,2,1,2,9,4,1,<=50K
148,44,38,1,1,2,3,2,1,>50K
149,43,40,2,1,0,0,4,0,<=50K
150,30,45,2,1,1,2,2,1,<=50K
151,37,42,1,1,2,0,4,1,>50K
152,34,40,2,6,2,0,2,1,<=50K
153,41,40,0,1,0,3,4,0,<=50K
154,31,50,2,3,2,9,4,0,<=50K
155,58,1,1,2,2,9,4,1,>50K
156,38,28,2,1,0,6,2,0,<=50K
157,24,40,2,1,2,6,4,1,<=50K
158,41,40,1,1,2,2,2,1,<=50K
159,47,45,2,1,2,12,4,1,<=50K
160,41,24,1,1,2,12,4,1,<=50K
161,36,40,2,1,0,2,4,1,<=50K
162,40,55,1,3,1,3,4,0,>50K
163,35,40,2,3,2,9,4,1,>50K
164,24,40,0,6,1,11,4,1,<=50K
165,26,40,2,3,1,9,4,0,<=50K
166,51,50,2,1,2,3,4,1,>50K
167,42,40,1,1,1,9,4,0,<=50K
168,37,35,1,6,0,0,4,0,<=50K
169,18,40,2,4,1,11,4,0,<=50K
170,36,36,2,1,2,7,2,1,>50K
171,35,60,2,6,0,2,4,1,<=50K
172,58,35,0,6,2,11,4,0,>50K
173,17,12,2,4,1,11,4,0,<=50K
174,44,40,1,6,2,13,2,1,<=50K
175,37,40,2,6,2,2,4,1,>50K
176,35,40,2,1,1,11,0,0,<=50K
177,60,40,2,6,2,2,1,1,<=50K
178,54,40,0,5,2,6,4,1,>50K
179,37,60,2,1,1,3,2,1,>50K
180,50,40,2,7,0,11,4,0,<=50K
181,45,55,2,1,2,9,4,1,<=50K
182,25,40,2,4,1,2,4,1,<=50K
183,31,40,2,1,2,5,4,1,<=50K
184,90,40,2,6,1,7,2,1,<=50K
185,54,20,2,6,2,0,2,1,<=50K
186,53,35,1,5,1,6,4,0,<=50K
187,18,40,2,6,1,11,4,0,<=50K
188,66,50,0,6,2,4,4,1,<=50K
189,65,40,2,6,0,0,4,0,<=50K
190,35,40,2,4,4,13,2,1,<=50K
191,41,38,2,6,0,11,2,0,<=50K
192,25,42,2,1,1,0,4,1,<=50K
193,33,40,2,1,0,2,3,0,<=50K
194,28,55,2,0,1,9,4,1,>50K
195,59,40,1,6,2,7,4,1,<=50K
196,40,38,1,1,1,0,4,0,<=50K
197,38,70,1,3,2,3,4,1,>50K
198,23,40,2,6,1,13,4,1,<=50K
199,40,40,2,1,2,9,4,1,>50K
200,41,20,0,6,2,7,4,0,<=50K
201,24,50,1,7,2,10,4,1,<=50K
202,38,40,2,1,0,2,4,1,<=50K
203,58,45,2,6,2,0,4,1,>50K
204,32,34,2,6,1,7,4,0,<=50K
205,40,60,2,7,2,12,4,1,>50K
206,41,40,2,0,2,9,4,0,>50K
207,42,40,2,1,2,0,2,0,<=50K
208,59,30,1,4,3,7,2,0,<=50K
209,19,40,1,1,1,0,4,1,<=50K
210,58,20,2,1,1,13,4,1,<=50K
211,20,40,2,6,1,7,4,0,<=50K
212,32,30,2,6,4,7,4,0,<=50K
213,45,45,2,7,3,3,4,0,<=50K
214,50,40,2,5,0,2,4,1,<=50K
215,36,40,2,1,0,9,4,0,<=50K
216,45,60,2,6,2,11,4,1,<=50K
217,17,12,2,4,1,7,4,1,<=50K
218,59,40,2,1,2,11,4,1,<=50K
219,26,40,2,4,2,2,4,1,<=50K
220,64,40,2,6,2,3,4,1,>50K
221,33,45,2,1,1,9,4,0,<=50K
222,33,40,2,6,2,2,4,0,>50K
223,61,40,2,6,2,3,4,1,>50K
224,17,24,2,4,1,7,4,1,<=50K
225,50,98,0,3,2,4,4,1,<=50K
226,27,35,1,3,1,9,4,1,<=50K
227,30,40,2,6,0,9,4,0,<=50K
228,43,40,2,6,2,5,2,1,<=50K
229,44,40,2,1,2,2,4,1,>50K
230,35,40,2,1,1,3,4,0,<=50K
231,25,40,2,1,1,12,4,0,<=50K
232,24,48,2,1,2,6,4,0,>50K
233,42,40,1,1,2,2,4,1,>50K
234,34,45,2,7,0,11,2,0,<=50K
235,60,42,2,1,0,9,4,0,<=50K
236,21,40,2,6,1,5,4,1,<=50K
237,57,40,1,3,2,11,4,1,>50K
238,41,60,2,0,2,9,4,1,>50K
239,50,45,2,1,0,7,4,1,<=50K
240,25,40,2,1,1,3,4,0,<=50K
241,36,45,2,1,2,9,4,1,<=50K
242,31,40,2,6,0,9,4,0,<=50K
243,29,56,1,1,1,10,4,1,<=50K
244,21,45,2,1,1,11,4,1,<=50K
245,27,40,2,1,1,12,2,0,<=50K
246,65,16,2,6,2,13,4,1,<=50K
247,37,60,0,1,0,11,4,0,<=50K
248,24,40,2,6,1,2,4,1,<=50K
249,38,80,2,6,0,11,4,1,<=50K
250,48,40,2,1,2,0,4,1,>50K
251,21,25,2,1,1,7,1,0,<=50K
252,31,45,2,6,2,13,4,1,>50K
253,55,40,2,6,2,11,4,1,>50K
254,43,40,2,6,0,0,4,0,<=50K
255,26,45,2,7,1,12,4,1,<=50K
256,46,33,2,7,1,9,4,0,<=50K
257,35,40,2,7,2,0,4,1,>50K
258,41,54,0,1,2,4,4,1,>50K
259,26,40,2,1,1,11,4,1,<=50K
260,36,40,0,1,0,9,2,0,>50K
261,22,15,2,1,1,11,4,1,<=50K
262,24,40,2,1,1,6,4,1,<=50K
263,77,40,0,1,2,11,4,1,<=50K
264,29,40,2,1,1,12,4,0,<=50K
265,62,24,2,6,3,7,4,0,<=50K
266,39,40,0,6,2,3,4,1,<=50K
267,43,50,2,1,2,2,4,1,<=50K
268,35,45,2,6,0,13,4,1,<=50K
269,29,40,2,4,1,3,4,0,<=50K
270,76,10,0,3,2,2,4,1,<=50K
271,63,45,0,6,2,4,4,1,<=50K
272,43,50,2,1,2,9,4,0,>50K
273,58,40,0,6,2,5,4,1,<=50K
274,66,55,2,6,1,13,4,1,<=50K
275,41,45,2,1,1,2,2,1,<=50K
276,26,40,2,1,1,0,4,1,<=50K
277,47,40,2,7,1,7,4,1,<=50K
278,55,40,1,4,2,0,4,1,<=50K
279,53,40,2,6,2,13,4,1,<=50K
280,30,40,2,6,1,2,4,1,<=50K
281,49,60,2,3,1,9,4,1,<=50K
282,45,40,2,6,2,7,2,1,<=50K
283,26,40,2,7,1,11,4,1,<=50K
284,38,40,2,7,2,2,4,1,>50K
285,36,40,1,6,2,10,4,1,>50K
286,33,20,2,6,1,4,4,1,<=50K
287,22,40,1,1,1,10,2,0,<=50K
288,43,42,0,1,1,11,4,1,<=50K
289,31,25,2,1,1,9,4,1,<=50K
290,33,40,2,1,2,3,4,1,>50K
291,26,40,2,6,2,7,4,1,<=50K
292,33,40,2,1,2,3,4,1,>50K
293,46,30,1,4,2,13,4,1,<=50K
294,38,40,1,6,2,0,4,1,>50K
295,65,40,2,4,3,7,3,1,<=50K
296,40,40,2,7,2,12,4,1,>50K
297,42,35,2,6,2,0,4,0,<=50K
298,36,24,2,4,2,7,4,0,<=50K
299,62,40,2,3,2,9,4,1,>50K
300,43,45,2,1,2,13,4,1,<=50K
301,43,45,2,1,0,3,4,1,>50K
302,22,55,2,6,4,11,4,1,<=50K
303,28,40,2,6,2,2,4,1,<=50K
304,56,45,0,1,2,11,4,1,<=50K
305,22,15,2,7,1,11,4,0,<=50K
306,57,45,2,1,0,3,4,0,>50K
307,39,40,2,6,0,11,4,0,<=50K
308,26,15,1,1,1,0,4,0,<=50K
309,17,10,2,4,1,7,4,1,<=50K
310,40,38,1,7,2,6,4,1,>50K
311,45,40,2,6,2,6,2,1,<=50K
312,44,40,2,6,1,2,2,1,<=50K
313,20,10,1,1,1,0,4,0,<=50K
314,33,40,2,6,2,2,4,0,<=50K
315,23,40,2,1,1,11,4,1,<=50K
316,46,30,0,3,0,3,4,1,<=50K
317,38,50,2,6,2,11,4,1,<=50K
318,54,40,2,6,0,13,4,1,<=50K
319,46,45,2,5,0,2,4,0,<=50K
320,25,40,2,1,2,2,4,1,<=50K
321,46,40,2,1,0,11,4,0,<=50K
322,36,40,1,1,2,13,4,0,<=50K
323,23,25,2,6,1,7,4,0,<=50K
324,29,40,2,6,4,6,4,1,<=50K
325,44,6,2,1,2,0,4,0,>50K
326,19,16,2,1,1,0,4,0,<=50K
327,19,40,2,6,1,7,4,0,<=50K
328,35,40,2,6,2,7,4,0,>50K
329,27,50,2,1,1,2,4,1,<=50K
330,46,40,0,7,4,2,4,1,<=50K
331,34,35,2,6,1,7,4,0,<=50K
332,44,40,2,1,2,12,4,1,<=50K
333,45,40,2,1,0,5,4,0,<=50K
334,25,55,2,1,2,3,4,1,>50K
335,52,50,0,1,2,3,4,1,>50K
336,20,40,2,1,1,5,4,1,<=50K
337,28,40,2,1,1,7,4,0,<=50K
338,50,40,1,1,2,10,4,1,>50K
339,34,64,2,7,0,12,4,0,<=50K
340,41,65,2,3,2,3,4,1,>50K
341,28,40,2,6,2,0,4,1,<=50K
342,46,25,0,6,2,2,4,1,<=50K
343,32,50,2,1,2,3,4,1,<=50K
344,41,24,1,1,0,7,2,0,<=50K
345,24,40,2,6,1,5,2,0,<=50K
346,33,40,2,1,0,3,4,0,<=50K
347,46,60,2,2,2,3,4,1,>50K
348,31,40,1,1,2,6,4,1,<=50K
349,35,50,2,4,0,2,4,1,>50K
350,30,19,2,4,1,7,4,0,<=50K
351,34,40,1,4,4,6,2,1,<=50K
352,34,40,1,6,0,13,4,0,<=50K
353,20,30,2,1,2,11,4,1,<=50K
354,17,18,2,4,1,5,4,1,<=50K
355,32,40,1,1,2,3,4,0,>50K
356,29,40,2,6,0,4,4,1,<=50K
357,33,35,2,4,1,2,4,0,<=50K
358,25,60,2,6,2,13,4,1,<=50K
359,36,40,1,3,1,9,4,1,<=50K
360,63,40,0,6,2,3,4,1,>50K
361,47,40,1,3,2,9,4,1,<=50K
362,40,40,0,1,4,9,4,0,<=50K
363,30,25,2,7,2,7,4,0,>50K
364,33,50,2,3,2,9,4,1,>50K
365,34,60,1,6,1,4,2,1,<=50K
366,34,40,1,1,1,10,4,0,<=50K
367,23,40,2,1,2,0,4,1,<=50K
368,42,40,1,1,2,0,4,0,<=50K
369,29,40,2,1,1,9,4,1,<=50K
370,45,28,2,6,0,0,4,0,<=50K
371,24,40,1,6,1,1,4,1,<=50K
372,44,40,2,1,2,9,4,1,>50K
373,20,35,2,1,1,11,4,1,<=50K
374,44,40,2,6,3,3,2,0,<=50K
375,51,40,2,6,2,2,0,1,<=50K
376,20,40,2,6,2,6,4,1,<=50K
377,19,40,2,6,1,6,2,0,<=50K
378,45,55,0,1,2,2,4,1,>50K
379,60,40,2,6,2,2,4,1,>50K
380,44,40,0,6,2,11,4,0,>50K
381,40,40,2,7,2,6,1,1,>50K
382,30,40,2,6,2,3,4,0,<=50K
383,38,50,2,1,2,13,2,1,<=50K
384,23,60,2,6,2,13,4,1,<=50K
385,44,40,2,7,1,4,4,1,<=50K
386,54,40,1,6,2,13,2,1,<=50K
387,32,50,2,1,2,9,4,1,<=50K
388,50,40,2,5,4,2,4,1,<=50K
389,24,20,2,1,1,12,4,0,<=50K
390,37,60,2,6,2,0,4,0,<=50K
391,52,40,2,6,0,13,4,1,<=50K
392,38,40,2,1,2,13,4,1,<=50K
393,49,45,2,3,2,3,4,1,>50K
394,30,16,2,1,2,12,4,0,>50K
395,60,40,2,1,1,9,4,1,>50K
396,35,40,2,6,1,2,4,1,<=50K
397,30,60,2,6,1,13,4,1,<=50K
398,67,24,2,7,0,7,4,0,<=50K
399,46,40,2,1,1,2,4,0,<=50K
400,17,6,2,4,1,7,4,1,<=50K
401,22,30,2,1,1,5,4,1,<=50K
402,27,40,2,4,1,7,4,1,<=50K
403,23,35,2,6,1,7,4,0,<=50K
404,43,20,0,1,2,2,4,1,<=50K
405,28,20,1,1,1,9,4,1,<=50K
406,41,40,2,6,4,2,4,0,<=50K
407,25,20,2,1,4,0,2,0,<=50K
408,59,45,1,6,2,13,4,1,<=50K
409,45,40,1,1,0,9,4,0,<=50K
410,38,60,2,1,2,11,4,1,>50K
411,40,35,2,6,1,7,4,0,<=50K
412,46,40,1,6,0,0,4,1,<=50K
413,35,60,2,7,1,3,4,0,<=50K
414,34,25,2,6,0,9,4,0,<=50K
415,33,20,2,1,1,2,4,1,<=50K
416,41,36,2,6,0,0,4,0,<=50K
417,20,40,2,1,1,6,4,1,<=50K
418,26,35,2,1,1,9,4,0,<=50K
419,62,40,1,6,2,13,4,1,<=50K
420,52,40,2,1,2,0,4,1,<=50K
421,25,40,2,1,1,11,4,0,<=50K
422,24,40,2,1,1,3,2,1,<=50K
423,19,8,2,1,1,10,4,1,<=50K
424,43,40,2,1,2,3,4,1,<=50K
425,47,40,1,6,4,0,2,0,<=50K
426,39,40,2,6,0,7,4,0,<=50K
427,49,42,2,7,4,5,4,1,<=50K
428,32,45,2,7,1,2,4,1,<=50K
429,34,50,2,1,2,9,4,1,>50K
430,28,45,2,6,0,2,4,1,<=50K
431,25,20,2,1,1,0,0,0,<=50K
432,34,50,2,1,2,9,4,1,>50K
433,38,80,0,1,2,3,4,1,>50K
434,50,50,2,6,2,3,4,1,>50K
435,24,50,1,1,0,5,2,1,<=50K
436,37,45,1,1,2,12,4,1,>50K
437,44,58,2,1,0,6,4,1,>50K
438,28,40,2,1,2,11,4,0,<=50K
439,42,40,2,1,2,3,4,1,>50K
440,74,9,2,1,0,0,4,0,<=50K
441,38,50,0,6,2,2,4,1,<=50K
442,44,40,0,3,2,9,4,1,<=50K
443,26,40,2,6,1,6,4,1,<=50K
444,36,40,2,6,2,7,2,1,<=50K
445,41,50,2,7,2,3,4,0,>50K
446,67,48,2,0,2,9,4,1,>50K
447,39,50,1,4,2,12,4,1,<=50K
448,57,30,2,5,3,8,2,0,<=50K
449,29,40,2,7,4,2,4,1,<=50K
450,31,45,0,1,1,4,4,0,<=50K
451,44,40,2,1,2,13,4,1,<=50K
452,29,40,2,2,1,9,4,1,<=50K
453,30,40,2,1,1,5,4,0,<=50K
454,27,40,2,6,1,13,4,1,<=50K
455,27,50,2,1,2,11,4,1,<=50K
456,32,45,2,6,1,5,4,0,<=50K
457,58,8,2,4,2,7,4,0,<=50K
458,35,40,1,1,2,10,4,1,<=50K
459,21,36,2,6,1,5,4,1,<=50K
460,28,40,2,1,1,2,4,1,<=50K
461,46,50,0,1,0,3,4,1,<=50K
462,36,40,0,6,4,7,4,0,<=50K
463,72,40,2,4,3,0,4,0,<=50K
464,35,40,2,6,2,6,2,0,<=50K
465,33,40,1,7,0,2,2,0,>50K
466,69,40,2,4,1,6,4,0,<=50K
467,35,40,2,6,2,6,4,1,<=50K
468,34,32,2,6,2,12,4,0,<=50K
469,28,55,2,1,1,13,4,1,<=50K
470,54,35,2,1,2,11,4,1,>50K
471,47,50,2,1,2,9,4,1,>50K
472,24,40,2,6,1,5,2,0,<=50K
473,52,60,0,1,2,9,4,1,>50K
474,20,48,2,6,1,5,0,1,<=50K
475,43,45,0,3,2,3,4,1,<=50K
476,29,35,0,6,4,2,4,1,<=50K
477,47,42,2,3,0,3,4,1,<=50K
478,24,40,2,6,1,2,4,1,<=50K
479,51,40,2,6,2,9,4,1,<=50K
480,17,12,2,4,1,11,4,1,<=50K
481,37,40,2,7,2,2,4,1,>50K
482,27,70,2,2,1,9,4,0,<=50K
483,29,40,2,1,2,3,4,1,>50K
484,36,35,0,7,0,11,4,0,<=50K
485,58,40,1,1,1,9,4,0,<=50K
486,26,45,0,1,2,2,4,1,<=50K
487,57,40,2,6,2,11,4,1,>50K
488,59,40,2,6,2,2,4,1,<=50K
489,27,40,2,6,2,6,4,1,<=50K
490,31,40,0,1,1,12,4,1,<=50K
491,21,24,2,1,1,11,4,0,<=50K
492,29,60,2,1,1,0,4,1,<=50K
493,18,40,2,4,1,7,4,1,<=50K
494,52,47,2,4,2,2,4,1,>50K
495,57,80,0,1,0,9,4,1,<=50K
496,60,48,2,5,1,13,4,1,>50K
497,23,40,2,1,1,0,4,0,<=50K
498,27,40,2,6,1,11,4,1,<=50K
499,42,50,0,0,2,9,4,1,>50K
500,25,40,2,1,1,12,4,1,<=50K
501,49,45,2,1,1,9,4,0,<=50K
502,32,40,2,1,1,12,4,1,<=50K
503,19,28,2,1,1,0,4,1,<=50K
504,60,40,2,5,0,7,4,0,<=50K
505,42,40,1,4,2,7,4,1,<=50K
506,35,40,0,7,1,4,4,1,<=50K
507,48,37,2,6,1,0,2,0,<=50K
508,51,40,2,3,2,2,4,1,>50K
509,29,40,2,6,1,2,0,1,<=50K
510,36,40,1,6,4,3,2,1,<=50K
511,17,21,2,4,1,7,4,0,<=50K
512,52,60,2,3,0,9,4,0,<=50K
513,24,40,2,6,1,2,4,1,<=50K
514,24,50,2,6,2,5,4,1,<=50K
515,26,40,1,1,1,9,4,1,<=50K
516,27,20,2,1,1,7,4,0,<=50K
517,39,60,2,6,1,5,4,1,<=50K
518,30,45,2,6,2,13,2,1,<=50K
519,50,32,0,6,2,3,4,1,<=50K
520,52,55,0,1,2,11,4,1,<=50K
521,46,45,2,0,2,9,4,1,>50K
522,23,20,2,1,1,11,4,0,<=50K
523,45,20,2,4,3,7,2,0,<=50K
524,65,24,2,4,3,8,2,0,<=50K
525,29,55,2,7,2,13,4,1,<=50K
526,30,60,2,6,1,4,2,1,<=50K
527,34,45,2,6,2,11,4,1,>50K
528,38,64,0,6,2,11,4,1,<=50K
529,33,40,2,1,2,3,4,1,>50K
530,49,26,2,1,2,11,4,1,>50K
531,47,40,0,1,1,7,2,0,<=50K
532,49,40,1,4,4,7,2,0,<=50K
533,43,60,2,1,2,2,4,1,>50K
534,30,40,2,1,2,0,2,0,>50K
535,58,60,0,6,2,2,4,1,<=50K
536,19,14,2,6,1,7,4,0,<=50K
537,21,40,2,1,1,5,4,1,<=50K
538,33,60,2,1,2,3,4,1,>50K
539,52,60,0,2,2,9,4,1,>50K
540,26,55,2,6,0,2,4,1,<=50K
541,60,40,2,6,2,2,4,1,<=50K
542,21,40,2,1,1,5,4,1,<=50K
543,36,50,2,1,2,11,4,1,>50K
544,31,45,2,1,2,2,4,1,<=50K
545,50,40,0,2,4,9,4,1,>50K
546,31,40,1,6,0,0,4,0,<=50K
547,71,15,2,6,2,2,4,1,<=50K
548,30,40,1,1,2,12,4,1,>50K
549,20,20,2,1,1,7,4,1,<=50K
550,24,50,2,6,1,3,4,1,<=50K
551,38,45,1,1,4,3,4,0,<=50K
552,27,32,2,6,1,6,4,0,<=50K
553,34,45,2,6,2,2,4,1,<=50K
554,44,35,2,5,2,2,4,1,<=50K
555,43,40,2,6,2,6,4,1,>50K
556,44,40,0,4,2,5,2,1,>50K
557,35,60,2,3,1,11,4,1,<=50K
558,27,40,2,1,1,9,4,1,<=50K
559,43,38,1,3,1,9,4,1,<=50K
560,20,25,2,1,1,11,4,0,<=50K
561,42,40,2,7,0,9,4,0,>50K
562,27,40,1,1,2,13,4,1,<=50K
563,42,40,2,6,2,2,2,1,>50K
564,24,40,2,4,1,6,4,1,<=50K
565,48,40,1,1,0,3,4,1,<=50K
566,17,10,0,4,1,4,4,1,<=50K
567,33,40,2,1,2,3,4,1,>50K
568,50,50,0,6,2,11,4,1,>50K
569,22,40,2,6,1,11,4,0,<=50K
570,17,16,2,4,1,7,4,1,<=50K
571,31,45,2,6,1,2,4,1,<=50K
572,58,50,0,6,3,3,4,1,<=50K
573,29,48,1,6,1,10,4,1,<=50K
574,34,40,0,6,2,2,4,1,>50K
575,23,40,1,1,4,3,2,1,<=50K
576,18,5,1,4,1,0,4,0,<=50K
577,34,40,2,6,0,3,4,0,<=50K
578,45,55,1,1,2,9,4,0,<=50K
579,26,30,2,6,1,7,4,1,<=50K
580,54,40,1,1,2,4,4,1,<=50K
581,24,45,2,1,1,6,2,0,<=50K
582,42,50,2,1,2,9,4,1,<=50K
583,20,20,2,1,1,9,4,1,<=50K
584,23,20,1,1,1,12,4,0,<=50K
585,35,60,2,3,1,9,4,1,>50K
586,31,40,2,3,2,12,4,1,>50K
587,19,20,2,6,1,11,4,0,<=50K
588,36,50,1,1,1,9,4,1,<=50K
589,21,30,2,1,1,5,4,1,<=50K
590,31,40,0,1,2,2,4,1,<=50K
591,46,65,2,2,0,9,4,0,>50K
592,44,50,2,1,0,3,4,0,>50K
593,45,40,2,1,1,11,2,1,<=50K
594,60,35,2,6,2,2,4,1,<=50K
595,18,25,2,4,1,7,4,1,<=50K
596,28,40,2,1,2,9,4,1,<=50K
597,36,40,2,1,0,0,2,0,<=50K
598,40,40,2,7,2,12,4,1,<=50K
599,31,40,2,6,4,7,2,0,<=50K
600,33,40,2,6,2,6,4,1,<=50K
601,19,40,1,6,1,12,4,0,<=50K
602,22,15,2,1,1,11,4,0,<=50K
603,34,45,2,1,2,3,4,1,>50K
604,33,40,2,6,1,7,4,1,<=50K
605,41,60,2,6,2,2,4,1,<=50K
606,29,40,2,1,1,9,4,1,<=50K
607,50,42,1,6,2,3,4,1,>50K
608,42,45,2,1,2,3,4,1,>50K
